"id","side","list","vote"
"59",NA,"AUT",0
"59","Right","CEN",0
"06","Left","EXG",0
"06","Left","FG",0
"06","Right","ALLI",0
"06","Right","PRV",0
"06","Right","NCE",8.79
"06","Right","UMP",50.91
"06","Right","DVD",0
"06","Right","FN",9.95
"06","Right","EXD",0
"06","Left","SOC",23.02
"06","Left","RDG",0
"06","Left","DVG",0
"06","Left","VEC",7.33
"06",NA,"REG",0
"06","Left","ECO",0
"06",NA,"AUT",0
"06","Right","CEN",0
"60","Left","EXG",0
"60","Left","FG",6.1
"60","Right","ALLI",0
"60","Right","PRV",0
"60","Right","NCE",0
"60","Right","UMP",49.54
"60","Right","DVD",0
"60","Right","FN",6.63
"60","Right","EXD",0
"60","Left","SOC",26.11
"60","Left","RDG",5.41
"60","Left","DVG",0
"60","Left","VEC",6.2
"60",NA,"REG",0
"60","Left","ECO",0
"60",NA,"AUT",0
"60","Right","CEN",0
"61","Left","EXG",0
"61","Left","FG",0
"61","Right","ALLI",0
"61","Right","PRV",0
"61","Right","NCE",0
"61","Right","UMP",51.72
"61","Right","DVD",0
"61","Right","FN",0
"61","Right","EXD",0
"61","Left","SOC",29.89
"61","Left","RDG",0
"61","Left","DVG",18.38
"61","Left","VEC",0
"61",NA,"REG",0
"61","Left","ECO",0
"61",NA,"AUT",0
"61","Right","CEN",0
"62","Left","EXG",0
"62","Left","FG",0
"62","Right","ALLI",0
"62","Right","PRV",0
"62","Right","NCE",3.2
"62","Right","UMP",25.84
"62","Right","DVD",0
"62","Right","FN",14.99
"62","Right","EXD",0
"62","Left","SOC",51.9
"62","Left","RDG",4.06
"62","Left","DVG",0
"62","Left","VEC",0
"62",NA,"REG",0
"62","Left","ECO",0
"62",NA,"AUT",0
"62","Right","CEN",0
"63","Left","EXG",0
"63","Left","FG",18.76
"63","Right","ALLI",0
"63","Right","PRV",0
"63","Right","NCE",0
"63","Right","UMP",38.95
"63","Right","DVD",0
"63","Right","FN",0
"63","Right","EXD",0
"63","Left","SOC",28.72
"63","Left","RDG",0
"63","Left","DVG",0
"63","Left","VEC",13.57
"63",NA,"REG",0
"63","Left","ECO",0
"63",NA,"AUT",0
"63","Right","CEN",0
"64","Left","EXG",0
"64","Left","FG",0
"64","Right","ALLI",0
"64","Right","PRV",8.88
"64","Right","NCE",0
"64","Right","UMP",22.96
"64","Right","DVD",0
"64","Right","FN",0
"64","Right","EXD",0
"64","Left","SOC",51.21
"64","Left","RDG",0
"64","Left","DVG",0
"64","Left","VEC",0
"64",NA,"REG",0
"64","Left","ECO",0
"64",NA,"AUT",0
"64","Right","CEN",16.95
"65","Left","EXG",0
"65","Left","FG",0
"65","Right","ALLI",0
"65","Right","PRV",16.53
"65","Right","NCE",0
"65","Right","UMP",17.65
"65","Right","DVD",0
"65","Right","FN",0
"65","Right","EXD",0
"65","Left","SOC",33.42
"65","Left","RDG",32.41
"65","Left","DVG",0
"65","Left","VEC",0
"65",NA,"REG",0
"65","Left","ECO",0
"65",NA,"AUT",0
"65","Right","CEN",0
"66","Left","EXG",0
"66","Left","FG",0
"66","Right","ALLI",0
"66","Right","PRV",0
"66","Right","NCE",0
"66","Right","UMP",44.51
"66","Right","DVD",0
"66","Right","FN",4.8
"66","Right","EXD",0
"66","Left","SOC",41.82
"66","Left","RDG",0
"66","Left","DVG",8.87
"66","Left","VEC",0
"66",NA,"REG",0
"66","Left","ECO",0
"66",NA,"AUT",0
"66","Right","CEN",0
"67","Left","EXG",0
"67","Left","FG",0
"67","Right","ALLI",6.03
"67","Right","PRV",0
"67","Right","NCE",0
"67","Right","UMP",53.79
"67","Right","DVD",8.09
"67","Right","FN",0
"67","Right","EXD",0
"67","Left","SOC",20.09
"67","Left","RDG",0
"67","Left","DVG",0
"67","Left","VEC",12
"67",NA,"REG",0
"67","Left","ECO",0
