"id","side","nom","vote"
"57","Right","DUPONT-AIGNAN",1.86
"57","Left","HOLLANDE",24.53
"58","Left","JOLY",1.64
"58","Right","LE PEN",19.58
"58","Right","SARKOZY",22.51
"58","Left","MÉLENCHON",11.95
"58","Left","POUTOU",1.28
"58","Left","ARTHAUD",0.72
"58",NA,"CHEMINADE",0.26
"58","Right","BAYROU",7.46
"58","Right","DUPONT-AIGNAN",1.96
"58","Left","HOLLANDE",32.64
"59","Left","JOLY",1.75
"59","Right","LE PEN",21.91
"59","Right","SARKOZY",24.7
"59","Left","MÉLENCHON",12.62
"59","Left","POUTOU",1.1
"59","Left","ARTHAUD",0.7
"59",NA,"CHEMINADE",0.23
"59","Right","BAYROU",7.48
"59","Right","DUPONT-AIGNAN",1.54
"59","Left","HOLLANDE",27.97
"06","Left","JOLY",2.15
"06","Right","LE PEN",23.5
"06","Right","SARKOZY",37.19
"06","Left","MÉLENCHON",8.49
"06","Left","POUTOU",0.69
"06","Left","ARTHAUD",0.27
"06",NA,"CHEMINADE",0.21
"06","Right","BAYROU",6.69
"06","Right","DUPONT-AIGNAN",1.59
"06","Left","HOLLANDE",19.21
"60","Left","JOLY",1.51
"60","Right","LE PEN",25.08
"60","Right","SARKOZY",26.59
"60","Left","MÉLENCHON",10.11
"60","Left","POUTOU",1.22
"60","Left","ARTHAUD",0.78
"60",NA,"CHEMINADE",0.25
"60","Right","BAYROU",7.61
"60","Right","DUPONT-AIGNAN",1.95
"60","Left","HOLLANDE",24.9
"61","Left","JOLY",1.79
"61","Right","LE PEN",20
"61","Right","SARKOZY",29.64
"61","Left","MÉLENCHON",8.92
"61","Left","POUTOU",1.45
"61","Left","ARTHAUD",0.74
"61",NA,"CHEMINADE",0.24
"61","Right","BAYROU",10.55
"61","Right","DUPONT-AIGNAN",2.4
"61","Left","HOLLANDE",24.26
"62","Left","JOLY",1.21
"62","Right","LE PEN",25.53
"62","Right","SARKOZY",21.86
"62","Left","MÉLENCHON",11.54
"62","Left","POUTOU",1.29
"62","Left","ARTHAUD",0.85
"62",NA,"CHEMINADE",0.21
"62","Right","BAYROU",6.4
"62","Right","DUPONT-AIGNAN",1.66
"62","Left","HOLLANDE",29.44
"63","Left","JOLY",2.04
"63","Right","LE PEN",15.58
"63","Right","SARKOZY",21.42
"63","Left","MÉLENCHON",13.99
"63","Left","POUTOU",1.24
"63","Left","ARTHAUD",0.64
"63",NA,"CHEMINADE",0.27
"63","Right","BAYROU",9.95
"63","Right","DUPONT-AIGNAN",1.77
"63","Left","HOLLANDE",33.09
"64","Left","JOLY",2.88
