"ville","users","lon","lat","address"
"ribeauville",2,7.319091,48.194668,"ribeauvillé, france"
"rillieux la pape",9,4.897126,45.819655,"rillieux-la-pape, france"
"riom",11,3.114932,45.8939949,"riom, france"
"roanne",39,4.072695,46.034432,"roanne, france"
"rochechouart",1111111,0.8213841,45.82494,"rochechouart, france"
"rochefort",31,-0.961697,45.936698,"rochefort, france"
"rodez",38,2.575986,44.349389,"rodez, france"
"romans sur isere",20,5.052735,45.044236,"romans-sur-isère, france"
"romorantin lanthenay",6,1.747259,47.358657,"romorantin-lanthenay, france"
"rosny sous bois",18,2.485932,48.875661,"rosny-sous-bois, france"
"roubaix",68,3.177847,50.6927049,"roubaix, france"
"rouen",578,1.099971,49.443232,"rouen, france"
"rueil malmaison",64,2.17693,48.882767,"rueil-malmaison, france"
"saint amand montrond",5,2.505604,46.7254859,"saint-amand-montrond, france"
"saint andre",21,55.64727,-20.96373,"saint-andré, reunion"
"saint benoit",8,0.339989,46.549591,"saint-benoît, france"
"saint brieuc",70,-2.765835,48.51418,"saint-brieuc, france"
"saint chamond",12,4.5127119,45.476088,"st-chamond, france"
"saint claude",4,5.8677659,46.387405,"saint-claude, france"
"saint denis",221,2.357443,48.936181,"saint-denis, france"
"saint die des vosges",3,6.947767,48.2874679,"saint-dié-des-vosges, france"
"saint dizier",11,4.947418,48.637692,"saint-dizier, france"
"saint etienne",258,4.3871779,45.439695,"saint-étienne, france"
"saint etienne du rouvray",2,1.108209,49.380305,"saint-étienne-du-rouvray, france"
"saint flour",4,3.094862,45.033026,"15100 saint-flour, france"
"saint gaudens",9,0.723763,43.106895,"31800 saint-gaudens, france"
"saint germain en laye",38,2.093761,48.898908,"saint-germain-en-laye, france"
"saint girons",3,1.146088,42.982876,"saint-girons, france"
"saint herblain",17,-1.651444,47.210335,"saint-herblain, france"
"saint jean d angely",4,-0.517763,45.944823,"17400 saint-jean-d'angély, france"
"saint jean de maurienne",2,6.344886,45.275403,"saint-jean-de-maurienne, france"
"saint joseph",4,4.770243,44.042022,"saint-joseph, 30150 roquemaure, france"
"saint julien en genevois",4,6.081338,46.144516,"saint-julien-en-genevois, france"
"saint laurent du maroni",2,-1.1890164,47.2881884,"rue du maroni, 49270 saint-laurent-des-autels, france"
"saint laurent du var",32,7.189811,43.673417,"st-laurent-du-var, france"
"saint leu",7,2.247531,49.019157,"saint-leu-la-forêt, france"
"saint lo",19,-1.0828136,49.1154686,"saint-lô, france"
"saint louis",33,7.563934,47.5859949,"saint-louis, france"
"saint malo",120,-2.025674,48.649337,"st-malo, france"
"saint martin",50,-63.05225,18.08255,"saint martin"
