"name","gender","party","twitter","mandates","ville","departement","type","id","statuses","followers","created","last_tweeted","age","followers_sample","sample"
"Laurent HAMON","m","EELV","laurent_hamon","Conseiller communautaire, Conseiller municipal","rennes","ille et vilaine","Local","1256589415",309,341,2013,"2015-06-11",828,341,FALSE
"Cécile BOURDON","f","PS","bourdoncecile","Conseiller régional","","pas de calais","Local","1264594813",367,340,2013,"2015-06-06",825,340,FALSE
"Pascal LEPRETRE","m","PS","louveciennes78","Conseiller municipal","louveciennes","yvelines","Local","243136881",995,339,2011,"2015-04-16",1602,332,FALSE
"Emmanuel MANDON","m","UDI","emmanuelmandon","Sans mandat électif courant","","rhone","Else","257078019",976,338,2011,"2015-04-20",1572,328,FALSE
"Alain CHABROLLE","m","EELV","alainchabrolle","Vice-Président de Conseil Régional","","ain","Local","1009355646",298,337,2012,"2015-04-15",914,337,FALSE
"Eric DELHAYE","m","UDI","delhayeeric","Conseiller communautaire, Maire adjoint","","aisne","Local","66315700",1302,337,2009,"2015-04-19",2129,326,FALSE
"François PARADOL","m","FN","fparadol","Conseiller communautaire, Conseiller municipal","vitry sur seine","val de marne","Local","33834010",149,337,2009,"2015-04-21",2247,334,FALSE
"Daniel PARIS","m","PRG","danielparis89","Maire","sens","yonne","Local","526563867",417,336,2012,"2014-01-14",1186,336,FALSE
"Bernard GÉRARD","m","UMP","bgerard59","Député","","nord","MP","412330011",3,334,2011,"2012-04-05",1310,334,FALSE
"Thierry KOVACS","m","UMP","thierry_kovacs","Conseiller régional, Maire","vienne ","isere","Local","1148628415",230,334,2013,"2014-11-03",861,334,FALSE
"Xavier BAUDRY","m","FN","xavier_baudry","Conseiller communautaire, Conseiller municipal","perpignan","pyrenees orientales","Local","2433615942",1476,334,2014,"2015-06-13",434,334,FALSE
"Annie DAVID","f","FDG","anniedavid38","Sénateur","","isere","Senator","2849448075",258,333,2014,"2015-05-14",230,333,FALSE
"Bertrand TISSIER","m","FDG","b_tissier","Conseiller municipal","trouy","cher","Local","1207785102",1300,331,2013,"2015-06-09",844,331,FALSE
"Dolorès ROQUE","f","PS","dolores_roque","Conseiller municipal","","herault","Local","958069861",404,331,2012,"2013-09-04",938,334,FALSE
"Agnès CANAYER","f","UMP","acanayer","Sénateur","","","Senator","1482302382",96,330,2013,"2015-05-20",742,330,FALSE
"Guillaume VUILLETET","m","EELV","g_vuilletet","Conseiller régional","","val d oise","Local","73632751",180,330,2009,"2015-06-13",2103,330,FALSE
"Alain VASSELLE","m","UMP","alainvasselle","Sénateur","oursel maison","oise","Senator","2956992646",499,329,2015,"2015-05-25",164,329,FALSE
"Jean-Louis LEBEAU","m","PS","jeanlouislebeau","Conseiller départemental, Maire","chevroches","nievre","Local","505746542",768,329,2012,"2015-06-12",1205,329,FALSE
"Françoise DUBOIS","f","PS","fdubois2012","Député","","sarthe","MP","589263030",17,328,2012,"2012-06-18",1118,322,FALSE
"Jean-Pierre BOSINO","m","FDG","jpbosino","Sénateur","","oise","Senator","2603390226",373,327,2014,"2015-04-16",347,314,FALSE
"Gérard ONESTA","m","EELV","onestagerard","Vice-Président de Conseil Régional","","","Local","1006097514",72,326,2012,"2015-06-14",916,326,FALSE
"Guillaume LISSY","m","PS","guillaumelissy","Conseiller départemental, Conseiller municipal, Conseiller régional","seyssinet pariset","isere","Local","2324368315",166,323,2014,"2015-06-08",498,323,FALSE
"Pierre FEYDEAU","m","IND","pierrefeydeau","Conseiller départemental, Maire adjoint","rochefort","charente maritime","Local","385255775",1048,323,2011,"2015-05-22",1350,323,FALSE
"Sébastien DURANCOIS","m","FN","sebreims","Conseiller communautaire, Conseiller municipal","reims","marne","Local","352660151",1582,320,2011,"2015-06-14",1405,320,FALSE
"Jean-Philippe GRAND","m","EELV","jphgrand","Conseiller régional","","loiret","Local","200565981",329,319,2010,"2015-02-24",1710,319,FALSE
